Tend f Neff Omeganurel 1/Omeganunr YPCMB YPBBN DoHx1e5 He3oHx1e5 Li7oHx1e10
0.00175751 0.755102 1.41869 2.65593 164.949 0.296382 0.297874 3.07211 1.12445 5.40964
0.00175751 0.77551 1.2665 2.37102 179.602 0.29735 0.298844 3.02178 1.11783 5.54993
0.00175751 0.795918 1.12212 2.10073 196.668 0.298392 0.29989 2.97193 1.11117 5.69975
0.00175751 0.816327 0.984965 1.84396 216.87 0.299513 0.301014 2.92907 1.10555 5.84063
0.00175751 0.836735 0.854497 1.59971 241.258 0.300722 0.302227 2.8858 1.09983 5.98785
0.00175751 0.857143 0.730243 1.36709 271.434 0.30201 0.303518 2.84479 1.09447 6.13666
0.00175751 0.877551 0.61177 1.1453 309.973 0.303372 0.304884 2.80457 1.08961 6.27725
0.00175751 0.897959 0.498682 0.933584 361.324 0.304822 0.306338 2.76958 1.08465 6.42611
0.00175751 0.918367 0.390622 0.731285 433.957 0.306357 0.307877 2.7307 1.08005 6.57912
0.00175751 0.938776 0.287262 0.537784 546.457 0.307952 0.309476 2.70036 1.07559 6.72694
0.00175751 0.959184 0.188301 0.352519 750.11 0.309649 0.311178 2.66888 1.07189 6.86984
0.00175751 0.979592 0.0934654 0.174977 1268.46 0.311401 0.312935 2.64287 1.06847 7.01097
0.00175751 1 0.00250148 0.00468302 19169.8 0.313248 0.314786 2.61586 1.06435 7.16713
0.00212095 0 3764.82 7048.13 0.446125 0.342544 0.344155 78.4231 2.48397 16.197
0.00212095 0.0204082 198.948 372.451 4.04772 0.337469 0.339068 40.08 2.48829 7.06975
0.00212095 0.0408163 100.081 187.361 6.77646 0.332759 0.334347 26.9125 2.35182 4.18166
0.00212095 0.0612245 65.8978 123.367 9.27068 0.328533 0.33011 20.424 2.21101 2.96739
0.00212095 0.0816327 48.5678 90.9239 11.6548 0.324718 0.326286 16.553 2.08617 2.35907
0.00212095 0.102041 38.0926 71.3133 13.9841 0.321266 0.322826 13.978 1.97927 2.03188
0.00212095 0.122449 31.077 58.1794 16.2905 0.318115 0.319666 12.1298 1.88654 1.85758
0.00212095 0.142857 26.0502 48.7687 18.5954 0.31524 0.316784 10.768 1.80824 1.77756
0.00212095 0.163265 22.2716 41.6946 20.9147 0.31259 0.314127 9.68434 1.73964 1.75638
0.00212095 0.183673 19.3276 36.1833 23.2612 0.310161 0.311691 8.83241 1.67964 1.7805
0.00212095 0.204082 16.9693 31.7684 25.6458 0.307919 0.309443 8.12887 1.62744 1.82963
0.00212095 0.22449 15.0378 28.1523 28.0787 0.305857 0.307376 7.54691 1.5817 1.90061
0.00212095 0.244898 13.4268 25.1364 30.5692 0.303969 0.305483 7.04864 1.53989 1.99215
0.00212095 0.265306 12.0627 22.5827 33.1269 0.302229 0.303737 6.61597 1.50249 2.09327
0.00212095 0.285714 10.8928 20.3925 35.761 0.300632 0.302136 6.2412 1.469 2.20535
0.00212095 0.306122 9.8784 18.4934 38.4813 0.299187 0.300687 5.92554 1.43953 2.31864
0.00212095 0.326531 8.9904 16.831 41.2981 0.297861 0.299357 5.62975 1.41054 2.44979
0.00212095 0.346939 8.20659 15.3636 44.2224 0.296669 0.298162 5.37647 1.38616 2.5718
0.00212095 0.367347 7.50965 14.0588 47.2661 0.2956 0.29709 5.14359 1.36268 2.70532
0.00212095 0.387755 6.88591 12.8911 50.4422 0.294632 0.296119 4.93531 1.34119 2.83862
0.00212095 0.408163 6.3244 11.8399 53.7651 0.293788 0.295272 4.74885 1.32155 2.97313
0.00212095 0.428571 5.81627 10.8887 57.2508 0.29305 0.294532 4.58173 1.30342 3.1077
0.00212095 0.44898 5.35425 10.0237 60.9174 0.292424 0.293904 4.42545 1.28667 3.24303
0.00212095 0.469388 4.93233 9.23383 64.7852 0.291887 0.293366 4.2831 1.27083 3.37851
0.00212095 0.489796 4.54552 8.50968 68.8775 0.291452 0.292929 4.15749 1.25656 3.51244
0.00212095 0.510204 4.18961 7.84339 73.2208 0.291121 0.292597 4.02887 1.24227 3.65502
0.00212095 0.530612 3.86105 7.22827 77.846 0.290884 0.29236 3.92323 1.22965 3.78824
0.00212095 0.55102 3.55679 6.65867 82.7888 0.290738 0.292214 3.81268 1.21733 3.92767
0.00212095 0.571429 3.27424 6.12971 88.0911 0.290674 0.292149 3.71893 1.20608 4.06216
0.00212095 0.591837 3.01116 5.63719 93.8026 0.290706 0.292181 3.62639 1.19509 4.20441
0.00212095 0.612245 2.7656 5.17748 99.9824 0.290817 0.292292 3.53908 1.1851 4.33887
0.00212095 0.632653 2.53586 4.7474 106.701 0.291017 0.292493 3.4594 1.17508 4.48022
0.00212095 0.653061 2.32048 4.34417 114.046 0.291306 0.292783 3.38826 1.16687 4.60566
0.00212095 0.673469 2.11814 3.96538 122.123 0.291666 0.293144 3.31886 1.15807 4.74277
0.00212095 0.693878 1.9277 3.60884 131.065 0.292105 0.293584 3.25499 1.15059 4.87278
0.00212095 0.714286 1.74813 3.27267 141.038 0.292629 0.29411 3.18891 1.14233 5.01737
0.00212095 0.734694 1.57853 2.95517 152.256 0.293226 0.294709 3.13089 1.13519 5.14931
0.00212095 0.755102 1.4181 2.65482 165.001 0.293904 0.295389 3.07654 1.12788 5.28997
0.00212095 0.77551 1.26611 2.37028 179.644 0.294653 0.29614 3.02857 1.1223 5.41125
0.00212095 0.795918 1.12191 2.10032 196.697 0.295483 0.296972 2.98172 1.11587 5.53129
0.00212095 0.816327 0.984914 1.84386 216.878 0.296379 0.297871 2.9333 1.11007 5.68144
0.00212095 0.836735 0.854604 1.59991 241.236 0.297348 0.298842 2.88612 1.10417 5.82144
0.00212095 0.857143 0.730498 1.36757 271.363 0.298385 0.299882 2.84886 1.09887 5.95509
0.00212095 0.877551 0.612164 1.14603 309.823 0.299498 0.300999 2.80853 1.09399 6.0886
0.00212095 0.897959 0.499209 0.93457 361.038 0.30068 0.302184 2.76998 1.08886 6.22531
0.00212095 0.918367 0.391274 0.732504 433.416 0.301931 0.303439 2.73838 1.0847 6.35564
0.00212095 0.938776 0.288032 0.539225 545.362 0.303253 0.304764 2.70455 1.08068 6.48205
0.00212095 0.959184 0.189183 0.35417 747.486 0.304642 0.306157 2.6688 1.0762 6.62746
0.00212095 0.979592 0.094454 0.176828 1258.49 0.306103 0.307623 2.64075 1.07214 6.76572
0.00212095 1 0.00359178 0.00672419 14614.4 0.30763 0.309154 2.61655 1.06889 6.89139
0.00255955 0 2732.15 5114.86 0.567397 0.338244 0.339845 63.0155 2.46853 12.2663
0.00255955 0.0204082 194.88 364.836 4.11092 0.333671 0.335262 35.6833 2.43653 5.97457
0.00255955 0.0408163 98.9948 185.328 6.83212 0.329466 0.331046 24.924 2.30399 3.75066
0.00255955 0.0612245 65.4044 122.444 9.32308 0.325659 0.32723 19.2952 2.17081 2.75541
0.00255955 0.0816327 48.2873 90.3989 11.7055 0.32219 0.323752 15.8325 2.05328 2.2433
0.00255955 0.102041 37.9122 70.9755 14.034 0.31903 0.320584 13.492 1.95263 1.96616
0.00255955 0.122449 30.9514 57.9443 16.3401 0.316127 0.317673 11.7855 1.86503 1.81997
0.00255955 0.142857 25.9579 48.5959 18.645 0.313462 0.315001 10.5044 1.79084 1.75523
0.00255955 0.163265 22.201 41.5626 20.9645 0.310996 0.312529 9.50207 1.72623 1.74472
0.00255955 0.183673 19.2721 36.0793 23.3114 0.308713 0.310239 8.70164 1.67153 1.7681
0.00255955 0.204082 16.9246 31.6845 25.6967 0.306604 0.308125 8.03593 1.62207 1.81934
0.00255955 0.22449 15.001 28.0835 28.1303 0.304663 0.306178 7.46337 1.57707 1.89432
0.00255955 0.244898 13.3962 25.079 30.6217 0.302859 0.304369 6.98656 1.53764 1.98114
0.00255955 0.265306 12.0369 22.5343 33.1802 0.301201 0.302707 6.5771 1.50239 2.07795
0.00255955 0.285714 10.8708 20.3512 35.8153 0.299671 0.301172 6.23144 1.47117 2.17956
0.00255955 0.306122 9.85946 18.4579 38.5367 0.298272 0.29977 5.92125 1.44261 2.28957
0.00255955 0.326531 8.97401 16.8003 41.3547 0.296982 0.298476 5.63805 1.4163 2.4039
0.00255955 0.346939 8.19233 15.3369 44.2802 0.295811 0.297302 5.38231 1.39132 2.52799
0.00255955 0.367347 7.49718 14.0355 47.3251 0.294754 0.296242 5.16053 1.36955 2.64738
0.00255955 0.387755 6.87496 12.8706 50.5024 0.293784 0.295268 4.95983 1.34913 2.76932
0.00255955 0.408163 6.31477 11.8219 53.8266 0.292941 0.294423 4.77456 1.32994 2.89809
0.00255955 0.428571 5.80778 10.8727 57.3136 0.292177 0.293656 4.60586 1.31221 3.02415
0.00255955 0.44898 5.34675 10.0097 60.9814 0.291512 0.29299 4.45499 1.29583 3.15124
